Question,text,type,difficulty,correct.shinyOutput,wrangling,coding,d.trees,sna,nlp,viz,n.nets,googleable,non.googleable,jitl,substantive,4050.2,4050.3,4050.4,4050.5,4050.6,4050.7,4051.1,4051.2,4051.3,4051.5,avg.correct,LMGT,PC1,PC2,PC3,PC4,PC5
1,"I have a data frame named DATA with the following variables: student_id, grade, gender, logins, comments. What code would I use to create a data frame containing only student_id and logins?",Multiple Choice,easy,"80% of students answered this question correctly                                        on last year's midterm",1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0.807692308,0,0.347,NA,NA,-0.19,NA
2,"Lalitha has anonymized a data set by replacing student names with a variable called student_id. student_id is a random number given to each student, what class of variable should student_id be in R?",Multiple Choice,hard,"23% of students answered this question correctly                                        on last year's midterm",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.230769231,1,0.353,NA,NA,-0.157,-0.212
3,"Which R package (library) would you utilize to group students by grade, and produce the average test score for each grade?",Multiple Choice,easy,"76% of students answered this question correctly                                        on last year's midterm",1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0.769230769,0,NA,0.22,NA,NA,-0.213
4,What is the R code to convert DF1 into DF2?,Coding,hard,"7% of students answered this question correctly                                        on last year's midterm",1,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0.076923077,0,NA,NA,0.407,NA,NA
5,A tidy data set is one in which...,Multiple Choice,easy,"100% of students answered this question correctly                                        on last year's midterm",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA
6,"You have received a .csv data file from a colleague in Europe. You are excited about it and decide to immediately upload it into R. Unfortunately you get the error, non-numeric argument to binary operator. What might be the most likley cause?",Multiple Choice,hard,"26% of students answered this question correctly                                        on last year's midterm",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.269230769,1,-0.132,NA,-0.115,-0.446,0.151
7,"When building CART models, what is the spliSing criteria",Multiple Choice,easy,"76% of students answered this question correctly                                        on last year's midterm",0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0.769230769,0,-0.333,0.16,0.123,-0.127,NA
8,Refer to the data frame above named DF. What package (library) would you use to build a CART model that predicts engagement from the other numeric variables?,Multiple Choice,easy,"100% of students answered this question correctly                                        on last year's midterm",0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,NA,NA,NA,NA,NA
9,What is the R code to fit the CART model using this library?,Coding,hard,"15% of students answered this question correctly                                        on last year's midterm",0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0.153846154,0,NA,0.177,-0.141,NA,-0.253
10,What is recursive partitioning?,Multiple Choice,medium,"65% of students answered this question correctly                                        on last year's midterm",0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0.653846154,0,-0.123,NA,NA,0.472,NA
11,"In Social Network Analysis, why is an ego network useful?",Multiple Choice,easy,"92% of students answered this question correctly                                        on last year's midterm",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0.923076923,0,0.298,NA,NA,0.136,NA
12,What is the R code to create a graph object from the matrix above?,Coding,medium,"42% of students answered this question correctly                                        on last year's midterm",0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0.423076923,0,NA,0.155,NA,0.304,0.24
13,What is the R code to extract the Bonacich Power Centrality from this graph object?,Coding,medium,"65% of students answered this question correctly                                        on last year's midterm",0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0.653846154,0,-0.106,NA,NA,0.15,-0.349
14,What are the main two families of approach to finding subgroup structure in Social Networks?,Multiple Choice,medium,"57% of students answered this question correctly                                        on last year's midterm",0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0.576923077,0,-0.36,NA,0.181,NA,0.248
15,Define the term maximal complete sub-graph,Free Form,medium,"57% of students answered this question correctly                                        on last year's midterm",0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.576923077,0,0.204,NA,0.29,NA,NA
16,You have created an igraph object called g. What is the R code to extract the the size of the largest clique in the graph?,Coding,hard,"19% of students answered this question correctly                                        on last year's midterm",0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.192307692,0,NA,NA,0.463,NA,NA
17,Natural Language Processing utilizes a bag of words approach. This refers to:,Multiple Choice,medium,"53% of students answered this question correctly                                        on last year's midterm",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.538461538,0,NA,0.156,0.116,-0.426,NA
18,What is the purpose of pre-processing in NLP?,Free Form,medium,"61% of students answered this question correctly                                        on last year's midterm",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.615384615,0,NA,0.365,NA,NA,NA
19,In the following sentence which words would be considered stop words: The quick brown fox jumps over the lazy dog,Free Form,hard,"11% of students answered this question correctly                                        on last year's midterm",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.115384615,0,NA,NA,0.328,-0.146,0.144
